element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
83,33,8,2,True,2022-08-27T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,8,15.2,22.2,21.0,5.8,46,-12723,1068151,152562,165285,4,Dasilva,3
84,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-194,2023,66,260,4,Ajer,2
85,33,8,2,True,2022-08-27T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,11,16.6,27.1,4.0,4.8,45,4389,135632,24459,20070,4,Henry,2
86,33,8,6,True,2022-08-27T14:00:00Z,1,1,4,21,1,0,0,0,0,0,0,0,0,0,0,19,35.0,2.2,60.0,9.7,55,-767,5874,288,1055,4,Janelt,3
87,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-243,2452,168,411,4,Ghoddos,3
88,33,8,2,True,2022-08-27T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,15.8,45.6,9.0,7.0,51,52898,314192,100369,47471,4,Jensen,3
89,33,8,1,True,2022-08-27T14:00:00Z,1,1,4,68,0,0,0,1,0,0,0,1,0,0,0,-4,0.0,0.1,8.0,0.4,54,883,17022,3468,2585,4,Wissa,3
90,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-745,5069,125,870,4,Roerslev,2
91,33,8,1,True,2022-08-27T14:00:00Z,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,-637,6891,286,923,4,Bech,2
92,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-225,1618,23,248,4,Pinnock,2
93,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-446,3659,246,692,4,Onyeka,3
94,33,8,1,True,2022-08-27T14:00:00Z,1,1,4,22,0,0,0,0,0,0,0,0,0,0,0,3,2.8,5.3,0.0,0.8,45,-2662,32222,2427,5089,4,Baptiste,3
95,33,8,2,True,2022-08-27T14:00:00Z,1,1,4,77,0,0,0,1,0,0,0,0,0,0,0,4,1.2,18.0,42.0,6.1,60,-5885,288733,44519,50404,4,Mbeumo,4
96,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2802,59564,3200,6002,4,Goode,2
97,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1382,11140,0,1382,4,Forss,4
98,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-302,3131,0,302,4,Thompson,2
99,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-14,156,0,14,4,Bidstrup,3
100,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-854,11964,0,854,4,Balcombe,1
101,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1371,23874,2835,4206,5,Lallana,3
102,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-956,86244,3485,4441,5,Steele,1
103,34,11,2,True,2022-08-27T14:00:00Z,1,0,4,87,0,0,1,0,0,0,0,0,0,0,0,7,6.8,26.3,2.0,3.5,65,34199,179230,59110,24911,5,Welbeck,4
104,34,11,11,True,2022-08-27T14:00:00Z,1,0,4,90,1,0,1,0,0,0,0,0,0,0,3,40,46.2,32.5,28.0,10.7,57,202703,969426,294441,91738,5,Groß,3
105,31,1,0,False,2022-08-27T16:30:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2180,21796,395,2575,9,Duffy,2
106,34,11,7,True,2022-08-27T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,1,22,4.8,10.6,6.0,2.1,45,58249,318597,81663,23414,5,Dunk,2
107,34,11,3,True,2022-08-27T14:00:00Z,1,0,4,69,0,0,1,0,0,0,0,0,0,0,0,1,9.6,14.8,47.0,7.1,50,-1436,39492,6294,7730,5,March,3
108,34,11,5,True,2022-08-27T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,1,0,0,0,17,17.4,0.4,12.0,3.0,45,6482,28006,8993,2511,5,Webster,2
109,34,11,6,True,2022-08-27T14:00:00Z,1,0,4,69,0,0,1,0,0,0,0,0,0,0,0,20,3.8,0.5,0.0,0.4,45,128153,221971,151777,23624,5,Veltman,2
110,33,4,0,False,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-9175,51137,4499,13674,8,Maupay,4
111,34,11,6,True,2022-08-27T14:00:00Z,1,0,4,78,0,1,1,0,0,0,0,0,0,0,0,15,19.0,21.8,32.0,7.3,65,28568,239745,52808,24240,5,Trossard,3
112,35,10,5,True,2022-08-27T14:00:00Z,2,1,4,90,0,1,0,1,0,0,0,0,0,0,0,24,29.6,24.4,0.0,5.4,51,-18380,1066705,118768,137148,6,Cucurella,2
113,34,11,8,True,2022-08-27T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,2,2,24,19.2,0.0,0.0,1.9,46,181486,1352332,235090,53604,5,Sánchez,1
114,34,11,1,True,2022-08-27T14:00:00Z,1,0,4,20,0,0,0,0,0,0,0,0,0,0,0,4,3.2,0.0,2.0,0.5,44,-25531,193933,4550,30081,5,Lamptey,2
115,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2049,19184,1191,3240,5,Alzate,3
116,34,11,2,True,2022-08-27T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,1,0,0,0,4,10.4,11.8,0.0,2.2,55,15164,36568,19470,4306,5,Mac Allister,3
117,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-353,2439,72,425,5,Moder,3
118,34,11,1,True,2022-08-27T14:00:00Z,1,0,4,20,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,54,-1402,9636,538,1940,5,Mwepu,3
119,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1664,7760,252,1916,5,Sarmiento,3
120,34,11,3,True,2022-08-27T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,9,10.2,4.7,2.0,1.7,50,254,25313,4373,4119,5,Caicedo,3
121,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-67,510,0,67,5,Richards,3
122,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-56,707,0,56,5,Roberts,2
123,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-9739,48522,1837,11576,5,Undav,4
124,34,11,1,True,2022-08-27T14:00:00Z,1,0,4,11,0,0,0,0,0,0,0,0,0,0,0,7,4.2,1.8,2.0,0.8,50,-902,5318,230,1132,5,Mitoma,3
125,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3402,34567,2343,5745,5,Enciso,4
126,34,11,0,True,2022-08-27T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1232,6365,297,1529,5,Kozłowski,3
127,35,10,1,True,2022-08-27T14:00:00Z,2,1,4,45,0,0,0,1,0,0,0,0,0,0,0,7,12.6,0.6,0.0,1.3,50,-23210,175940,8869,32079,6,Azpilicueta,2
128,35,10,2,True,2022-08-27T14:00:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,21,33.6,1.1,18.0,5.3,55,-19217,584898,34662,53879,6,Thiago Silva,2
129,35,10,0,True,2022-08-27T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-25380,117681,559,25939,6,Alonso,2
130,35,10,2,True,2022-08-27T14:00:00Z,2,1,4,74,0,0,0,1,0,0,0,0,0,0,0,10,7.2,3.4,0.0,1.1,60,-79240,394413,21047,100287,6,Jorginho,3
131,35,10,0,True,2022-08-27T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-721,5720,339,1060,6,Barkley,3
132,35,10,1,True,2022-08-27T14:00:00Z,2,1,4,15,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.5,0.0,0.3,49,-7127,26435,1017,8144,6,Kovacic,3
133,35,10,0,True,2022-08-27T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1136,21722,660,1796,6,Arrizabalaga,1
134,35,10,0,True,2022-08-27T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-92136,211869,1842,93978,6,Kanté,3
135,35,10,0,True,2022-08-27T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-5836,33908,1807,7643,6,Ziyech,3
136,35,10,2,True,2022-08-27T14:00:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,9,21.8,2.1,17.0,4.1,50,-414,19975,3944,4358,6,Loftus-Cheek,3
137,35,10,0,True,2022-08-27T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,-4534,23994,0,4534,6,Werner,4
138,35,10,0,True,2022-08-27T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2427,34451,1401,3828,6,Kenedy,2
139,35,10,1,True,2022-08-27T14:00:00Z,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,0.0,0.3,59,-60477,286632,10397,70874,6,Chilwell,2
140,35,10,1,True,2022-08-27T14:00:00Z,2,1,4,15,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,58,-10773,45397,1870,12643,6,Pulisic,3
141,35,10,2,True,2022-08-27T14:00:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,13,15.4,0.5,0.0,1.6,48,-5718,39334,1142,6860,6,Chalobah,2
